id,tipo,sku-pai,sku,ativo,usado,ncm,gtin,nome,descricao-completa,url-video-youtube,estoque-gerenciado,estoque-quantidade,estoque-situacao-em-estoque,estoque-situacao-sem-estoque,preco-sob-consulta,preco-custo,preco-cheio,preco-promocional,marca,peso-em-kg,altura-em-cm,largura-em-cm,comprimento-em-cm,categoria-nome-nivel-1,categoria-nome-nivel-2,categoria-nome-nivel-3,categoria-nome-nivel-4,categoria-nome-nivel-5,imagem-1,imagem-2,imagem-3,imagem-4,imagem-5,grade-genero,grade-tamanho-de-anelalianca,grade-tamanho-de-calca,grade-tamanho-de-camisacamiseta,grade-tamanho-de-capacete,grade-tamanho-de-tenis,grade-voltagem,grade-tamanho-juvenil-infantil,grade-produto-com-uma-cor,grade-produto-com-duas-cores,grade-tamanho-infantil,"",url-antiga
,com-variacao,,XP118534897,S,N,,,Inglaterra - Black (2022),Inglaterra - Black (2022) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,Seleções,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/ee4ac74d1-04c861d0599069a91916511947485512-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/b57f1fea1-f355d0714ec6f0aafa16511947486432-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/7d7fa15b1-31b26ab70a870222d316511947484449-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/6bf455711-dd462c56e8a169434b16511947488220-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/a72f98ff1-254deb9b352405e5b716511947487069-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP118534897,XP118534897-P,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP118534897,XP118534897-M,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP118534897,XP118534897-G,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP118534897,XP118534897-XG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP118534897,XP118534897-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP118532793,S,N,,,Santos - Centenário (2012),Santos - Centenário (2012) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/4bb951c31-cc0c0a37eb4168de5516511924476642-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/975adbe21-a09843cc9ebcf07b4716511924479806-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/01a184911-141156a9759e91782516511924481871-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/ec5541971-182108cddcde81a6c216511924483560-640-0.jpeg,,,,,,,,,,,,,,
,variacao,XP118532793,XP118532793-P,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP118532793,XP118532793-M,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP118532793,XP118532793-G,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
