id,tipo,sku-pai,sku,ativo,usado,ncm,gtin,nome,descricao-completa,url-video-youtube,estoque-gerenciado,estoque-quantidade,estoque-situacao-em-estoque,estoque-situacao-sem-estoque,preco-sob-consulta,preco-custo,preco-cheio,preco-promocional,marca,peso-em-kg,altura-em-cm,largura-em-cm,comprimento-em-cm,categoria-nome-nivel-1,categoria-nome-nivel-2,categoria-nome-nivel-3,categoria-nome-nivel-4,categoria-nome-nivel-5,imagem-1,imagem-2,imagem-3,imagem-4,imagem-5,grade-genero,grade-tamanho-de-anelalianca,grade-tamanho-de-calca,grade-tamanho-de-camisacamiseta,grade-tamanho-de-capacete,grade-tamanho-de-tenis,grade-voltagem,grade-tamanho-juvenil-infantil,grade-produto-com-uma-cor,grade-produto-com-duas-cores,grade-tamanho-infantil,"",url-antiga
,com-variacao,,XP130076670,S,N,,,Real Madrid - Third Kit (2022/23),Real Madrid - Third Kit (2022/23) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,La Liga,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/752b5799-3a19-4949-a606-99dd76da791b-f522c03ec038cd866a16609162392865-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/22986d2b-f9b8-4e3f-adf9-2eafb3562099-ede0193fd311ea5f8316609162392864-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/0c39e59d-2953-4f24-b647-337d682f0529-0a17cfb3c1da7a012816609162391626-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/4c771fa1-cc21-4c44-9558-a268fade5a61-26da82e0a91465cd2416609162393159-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/d02cc913-f8c3-42d0-82b0-b7b164077396-44c6f6a0ad0131b3d116609162391683-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP130076670,XP130076670-P,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP130076670,XP130076670-M,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP130076670,XP130076670-G,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP130076670,XP130076670-GG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP130076670,XP130076670-XG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP130076670,XP130076670-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP130003176,S,N,,,Brasil - Away (1998),Brasil - Away (1998),,,,,,N,,,,,,,,,Camisas Retrô,,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/21-f81f26f20d828f7ce516608560514079-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/11-7992dc996eaa3aa52a16608560513292-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/31-555c9d3ff29a2d1a0916608560513888-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/41-6b37ed83745cf4f9eb16608560514456-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/51-bb7b4536a924cc89d416608560513115-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP130003176,XP130003176-P,S,N,,,,,,S,0,imediata,30 dias,N,,169.0,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP130003176,XP130003176-M,S,N,,,,,,S,0,imediata,30 dias,N,,169.0,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
