id,tipo,sku-pai,sku,ativo,usado,ncm,gtin,nome,descricao-completa,url-video-youtube,estoque-gerenciado,estoque-quantidade,estoque-situacao-em-estoque,estoque-situacao-sem-estoque,preco-sob-consulta,preco-custo,preco-cheio,preco-promocional,marca,peso-em-kg,altura-em-cm,largura-em-cm,comprimento-em-cm,categoria-nome-nivel-1,categoria-nome-nivel-2,categoria-nome-nivel-3,categoria-nome-nivel-4,categoria-nome-nivel-5,imagem-1,imagem-2,imagem-3,imagem-4,imagem-5,grade-genero,grade-tamanho-de-anelalianca,grade-tamanho-de-calca,grade-tamanho-de-camisacamiseta,grade-tamanho-de-capacete,grade-tamanho-de-tenis,grade-voltagem,grade-tamanho-juvenil-infantil,grade-produto-com-uma-cor,grade-produto-com-duas-cores,grade-tamanho-infantil,"",url-antiga
,com-variacao,,XP126239973,S,N,,,Liverpool - Away (2022/23),Liverpool - Away (2022/23) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,Premier League,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/0630347f-dc42-48a3-99f4-4961780d4bc4-2a0c78eb11241a17e916613742771437-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/d5af50cb-4811-477b-b1a9-276608e1ef13-352696db8cd5133e4f16613742771064-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/d6e4e5e1-4e96-4a81-9854-4a044ffc8eee-367f8335778f6e770816613742771026-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/1abc703b-e61f-4e91-a2d3-7dfaf23d7935-6a8055bfa62646ef4416613742770149-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/e6a7e3c4-40f0-483c-be2a-3104e6d1ce2e-dca81c6b77f70e623116613742771644-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP126239973,XP126239973-P,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP126239973,XP126239973-M,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP126239973,XP126239973-G,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP126239973,XP126239973-GG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP126239973,XP126239973-XG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP126239973,XP126239973-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP126216501,S,N,,,Corinthians (Com patrocínio) - Away (2022/23),Corinthians (Com patrocínio) - Away (2022/23) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,Brasileirão,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/15541058-674c-4a0a-9fce-4ff21ad30a1f-19f553d13473cc9ade16575867706932-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/80e2ea98-5d18-44c5-b3a3-87b763662c1f-130dc54fbded2adc5416575867706802-640-0.jpeg,,,,,,,,,,,,,,,,
,variacao,XP126216501,XP126216501-P,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP126216501,XP126216501-M,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP126216501,XP126216501-G,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
