id,tipo,sku-pai,sku,ativo,usado,ncm,gtin,nome,descricao-completa,url-video-youtube,estoque-gerenciado,estoque-quantidade,estoque-situacao-em-estoque,estoque-situacao-sem-estoque,preco-sob-consulta,preco-custo,preco-cheio,preco-promocional,marca,peso-em-kg,altura-em-cm,largura-em-cm,comprimento-em-cm,categoria-nome-nivel-1,categoria-nome-nivel-2,categoria-nome-nivel-3,categoria-nome-nivel-4,categoria-nome-nivel-5,imagem-1,imagem-2,imagem-3,imagem-4,imagem-5,grade-genero,grade-tamanho-de-anelalianca,grade-tamanho-de-calca,grade-tamanho-de-camisacamiseta,grade-tamanho-de-capacete,grade-tamanho-de-tenis,grade-voltagem,grade-tamanho-juvenil-infantil,grade-produto-com-uma-cor,grade-produto-com-duas-cores,grade-tamanho-infantil,"",url-antiga
,com-variacao,,XP122051206,S,N,,,Ferrari - Red polo,Ferrari - Red polo,,,,,,N,,,,,,,,,Fórmula 1,,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/d2088fd51-f71128398813ec3c6a16539597631390-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/1e6985e11-cb29d65f35d3831f0f16539597640289-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/d6b4ab9e1-42b1cd33316feb7cf516539597636449-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/aa0903cb1-5ba0c94a2972db202916539597633734-640-0.jpg,,,,,,,,,,,,,,
,variacao,XP122051206,XP122051206-P,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP122051206,XP122051206-M,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP122051206,XP122051206-G,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP122051206,XP122051206-GG,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP122051206,XP122051206-XG,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP122051206,XP122051206-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP122050867,S,N,,,Max Verstappen - World Champion,Max Verstappen - World Champion,,,,,,N,,,,,,,,,Fórmula 1,,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/e9cc19fb1-6b5c6e66f7118c70bd16539585958207-640-0.png,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/082e5cbd1-a2eb0a7f1e05f5c39316539585968834-640-0.png,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/9edf7fa41-71c4c64b6af59cbb9216539585975608-640-0.png,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/c3d012bd1-35e1f966fb9190b8dc16539585966363-640-0.png,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/34f260a71-5742ab0335b8a9d8ff16539585962048-640-0.png,,,,,,,,,,,,,
,variacao,XP122050867,XP122050867-P,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP122050867,XP122050867-M,S,N,,,,,,S,0,imediata,30 dias,N,,179.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
