id,tipo,sku-pai,sku,ativo,usado,ncm,gtin,nome,descricao-completa,url-video-youtube,estoque-gerenciado,estoque-quantidade,estoque-situacao-em-estoque,estoque-situacao-sem-estoque,preco-sob-consulta,preco-custo,preco-cheio,preco-promocional,marca,peso-em-kg,altura-em-cm,largura-em-cm,comprimento-em-cm,categoria-nome-nivel-1,categoria-nome-nivel-2,categoria-nome-nivel-3,categoria-nome-nivel-4,categoria-nome-nivel-5,imagem-1,imagem-2,imagem-3,imagem-4,imagem-5,grade-genero,grade-tamanho-de-anelalianca,grade-tamanho-de-calca,grade-tamanho-de-camisacamiseta,grade-tamanho-de-capacete,grade-tamanho-de-tenis,grade-voltagem,grade-tamanho-juvenil-infantil,grade-produto-com-uma-cor,grade-produto-com-duas-cores,grade-tamanho-infantil,"",url-antiga
,com-variacao,,XP76309569,S,N,,,Chelsea - Home (2012),Chelsea - Home (2012),,,,,,N,,,,,,,,,Camisas Retrô,,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/4d41735f-8916-4c7f-9da3-6ec659bd62f51-da187855b2d54513a916140104031137-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/d4bcb47c-2ac0-4e64-b75c-755c50d6d3371-5538eb87213e1d5a4216140104031779-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/f63ae513-30b8-403e-8231-6f24fbefb7801-09a719494f11795f3716140104036150-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/543cb9c5-77af-4c31-a610-4d7f4b262b3b1-38aa6d5a47a99a61e216140104036621-640-0.jpeg,,,,,,,,,,,,,,
,variacao,XP76309569,XP76309569-P,S,N,,,,,,S,0,imediata,30 dias,N,,159.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP76309569,XP76309569-M,S,N,,,,,,S,0,imediata,30 dias,N,,159.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP76309569,XP76309569-G,S,N,,,,,,S,0,imediata,30 dias,N,,159.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP76309569,XP76309569-GG,S,N,,,,,,S,0,imediata,30 dias,N,,159.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP76309569,XP76309569-XG,S,N,,,,,,S,0,imediata,30 dias,N,,159.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,com-variacao,,XP76309500,S,N,,,Arsenal - Home (1989),Arsenal - Home (1989),,,,,,N,,,,,,,,,Camisas Retrô,,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/f587b55c-b647-462c-8c9e-d6c114df10001-4f67a1a9d00914c27f16140103434969-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/64fe0bbe-8f75-4f27-a861-a3225178cadb1-ecd464c9a9b1e4a04d16140103435467-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/3f52b0b6-8c40-46a5-b015-491a93c219d01-d45bc7c834e0272b4816140103436072-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/1133f1f0-9a7a-4718-8828-e040f080b9971-3a3da154ef7455649d16140103435243-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/5f911302-3e64-4698-b0d6-af575815459c1-cfc1d88f181e1c20ea16140103435970-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP76309500,XP76309500-P,S,N,,,,,,S,0,imediata,30 dias,N,,159.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP76309500,XP76309500-M,S,N,,,,,,S,0,imediata,30 dias,N,,159.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP76309500,XP76309500-G,S,N,,,,,,S,0,imediata,30 dias,N,,159.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
